Wall time,Step,Value
1688495232.9305918,70581,4.108280181884766
1688495305.175973,70657,4.131249904632568
1688496043.8289826,71429,4.116580009460449
1688496498.9392073,71907,4.0335798263549805
1688496553.6566973,71958,3.9914801120758057
1688496604.528362,72013,4.242219924926758
1688497287.4122715,72724,4.060629844665527
1688497565.2768047,73010,4.159379959106445
1688499974.2118979,75488,4.020110130310059
1688500694.009012,76219,4.1661200523376465
1688501370.194469,76907,4.038730144500732
1688502655.246046,78209,4.056260108947754
1688503358.435832,78921,4.088659763336182
1688503416.1246996,78974,4.029009819030762
1688503446.415599,79006,4.265059947967529
1688504823.8161392,80391,4.131269931793213
1688505050.4708643,80614,4.0707597732543945
1688505431.8335567,80997,3.962630033493042
1688508861.4735534,84410,4.0306501388549805
1688509056.360196,84602,3.977410078048706
1688509552.251684,85090,4.0749101638793945
1688510505.280103,86015,4.282810211181641
1688511294.3247697,86781,4.205729961395264
1688511383.3427646,86866,4.043089866638184
1688511527.498676,87009,4.026500225067139
1688511923.5048947,87394,4.13254976272583
1688512703.6071775,88138,3.973949909210205
1688513258.0774488,88675,4.220839977264404
1688513982.1721354,89348,4.113949775695801
1688514000.0962598,89364,4.026450157165527
1688514644.1099102,89974,4.178190231323242
1688514925.8498137,90238,4.172989845275879
1688516389.4818335,91625,4.077600002288818
1688516414.551596,91648,4.44996976852417
1688516918.474934,92121,4.04380989074707
1688518347.351763,93472,4.082670211791992
1688518804.777763,93902,4.083139896392822
1688520043.1667511,95058,4.034369945526123
1688520383.3116765,95378,3.9913299083709717
1688520490.6885712,95481,4.100629806518555
1688521377.6875114,96302,3.987790107727051
1688523173.6011555,97987,4.078589916229248
1688523701.4002109,98475,3.9183199405670166
1688524319.6955261,99056,4.110340118408203
1688525216.694064,99885,4.192130088806152
1688526258.1528695,100859,3.722259998321533
1688526772.1930726,101336,4.077400207519531
1688527406.280367,101924,4.057260036468506
1688527427.3319864,101944,4.132180213928223
1688528459.810471,102912,4.027900218963623
1688528517.1927817,102967,3.8757400512695312
1688528553.3956864,103002,3.9229700565338135
1688529576.8337128,103948,4.07574987411499
1688529929.1195517,104277,4.045010089874268
1688529994.4291189,104335,4.018380165100098
1688530590.925669,104897,3.74042010307312
1688530618.7235026,104925,3.8661301136016846
1688531533.2651803,105775,3.9093899726867676
1688532382.896061,106567,3.7147700786590576
1688533747.7718005,107838,3.8508100509643555
1688534547.3931386,108587,4.097020149230957
1688536298.3783562,110225,3.9710500240325928
1688536510.2204123,110419,4.064929962158203
1688537488.232212,111324,4.053170204162598
1688537891.775944,111699,4.052490234375
1688539197.932588,112903,3.890779972076416
1688540093.8843791,113742,3.9657599925994873
1688541560.5170808,115097,4.018099784851074
1688542013.396883,115519,3.9022998809814453
1688542405.2347553,115879,4.063630104064941
1688543321.9338565,116712,4.010900020599365
1688543399.5618055,116784,3.8593099117279053
1688543679.1266384,117048,3.913180112838745
1688544314.016964,117636,3.8970999717712402
1688544524.5322378,117826,3.879729986190796
1688544919.1253812,118191,4.046599864959717
1688548147.0956068,121193,3.8113598823547363
1688548147.386159,121194,3.956249952316284
1688548299.2547324,121333,4.025760173797607
1688548382.4872532,121404,3.947930097579956
1688548842.5481505,121836,4.131309986114502
1688549237.5857828,122206,3.8410298824310303
1688549699.9610136,122635,4.012939929962158
1688552573.275823,125291,3.9387199878692627
1688556932.7303364,129319,3.992310047149658
1688557020.8560414,129407,3.763200044631958
1688557745.5282886,130072,4.217780113220215
1688559479.9096458,131681,3.816499948501587
1688559691.4412847,131877,3.889130115509033
1688562391.2172754,134377,3.827239990234375
1688562405.9457033,134390,3.9848999977111816
1688562495.9843304,134475,3.9859700202941895
1688562933.399112,134878,3.751650094985962
1688563737.03315,135616,3.797919988632202
1688564377.7981892,136210,3.7578299045562744
1688564879.8201063,136674,3.928800106048584
1688564881.335589,136679,3.9070301055908203
1688565285.656645,137056,3.7095000743865967
1688565835.4886992,137566,3.8489201068878174
1688567825.7060518,139404,4.085669994354248
1688567873.5582376,139450,3.9758899211883545
1688568435.6669445,139976,3.937030076980591
1688568520.624257,140056,3.757499933242798
1688569277.6454732,140751,3.6958301067352295
1688569531.7284784,140990,3.789910078048706
1688569782.6189044,141223,3.9677200317382812
1688570505.0578341,141890,3.783210039138794
1688571588.0132473,142893,4.023489952087402
1688573028.7065756,144227,3.711250066757202
1688573093.4784956,144286,3.7631099224090576
1688575297.1103234,146313,3.8384599685668945
1688575714.5461328,146697,3.770319938659668
1688576565.1982343,147492,4.0246500968933105
1688577771.4402845,148605,3.8498098850250244
1688577846.0976005,148674,3.8851399421691895
1688577849.443066,148678,3.8537800312042236
1688578944.5056372,149684,3.789609909057617
1688579157.7761905,149887,3.8300600051879883
1688580103.8194163,150759,3.976599931716919
1688580216.144025,150864,3.6173698902130127
1688580408.1547515,151043,3.988830089569092
1688580504.0989885,151134,3.8321499824523926
1688580654.7588398,151277,3.8342199325561523
1688582013.028843,152524,3.8605399131774902
1688582270.2197156,152767,3.6456398963928223
1688584894.4652133,155190,3.9414401054382324
1688585322.9015174,155585,3.851140022277832
1688585462.3410754,155721,3.878849983215332
1688585480.3149803,155736,3.966559886932373
1688586479.2169175,156653,3.7702999114990234
1688586993.0238209,157131,3.947550058364868
1688587314.4295197,157431,3.785550117492676
1688587523.9319136,157624,3.761229991912842
1688589448.2039769,159409,3.918060064315796
1688589843.4411836,159780,3.845319986343384
1688590357.2787287,160253,3.782819986343384
1688591340.0368617,161160,3.84945011138916
1688591374.0288286,161188,3.8951900005340576
1688591564.7860339,161365,3.72160005569458
1688592190.6979313,161951,3.9867899417877197
1688592470.8126483,162207,3.7337300777435303
1688592867.8147266,162584,3.9345600605010986
1688593090.5882118,162790,3.939429998397827
1688593636.1383965,163297,3.7553598880767822
1688595065.3399358,164623,3.703350067138672
1688595966.6303575,165464,3.85932993888855
1688596113.1365273,165598,3.79692006111145
1688596331.3740757,165801,4.0617899894714355
1688597878.6823535,167235,3.8022000789642334
1688598055.6727705,167397,4.033199787139893
1688598321.3764775,167645,3.8098199367523193
1688598747.1504552,168038,3.838469982147217
1688600138.8719199,169324,3.87076997756958
1688600460.8997805,169555,3.9795000553131104
1688600808.2422953,169874,3.969640016555786
1688600905.9051874,169964,3.8908801078796387
1688601144.974574,170189,3.7260000705718994
1688601478.7897782,170496,3.9544200897216797
1688602484.2044983,171621,3.8222100734710693
1688602507.0765302,171660,3.8969199657440186
1688602514.1368272,171670,3.75068998336792
1688603251.9884892,172973,3.8772599697113037
1688603321.5703883,173094,3.637929916381836
1688603369.621487,173175,3.9418599605560303
1688603588.128943,173557,3.7681400775909424
1688603693.847864,173746,3.7961199283599854
1688604205.560061,174648,3.8281800746917725
1688605995.3809845,177778,3.9421799182891846
1688606233.3549113,178193,3.59306001663208
1688606502.4389253,178662,3.826550006866455
1688606523.6747959,178702,3.7997100353240967
1688606811.3860588,179197,3.6602799892425537
1688607456.0176346,180316,3.8845300674438477
1688607884.387977,181050,3.631190061569214
1688607922.195758,181109,3.9464499950408936
1688608227.7639883,181637,3.86683988571167
1688608491.679963,182088,3.7655599117279053
1688608935.1685069,182836,3.6820499897003174
1688608999.8250308,182945,3.6701900959014893
1688609001.7677655,182950,4.027699947357178
1688609191.3277712,183272,3.7138800621032715
1688609387.9832058,183599,3.8763599395751953
1688610070.4978738,184746,3.726289987564087
1688610260.5109518,185059,3.75570011138916
1688610835.0961099,186006,3.625999927520752
1688610971.2595372,186233,3.8137099742889404
1688611491.4923034,187091,3.6878600120544434
1688611519.8281224,187141,3.8506898880004883
1688612013.678452,187944,3.613450050354004
1688612042.7986739,187990,3.6566898822784424
1688612835.744944,189260,3.7552900314331055
1688612872.487698,189323,3.7418200969696045
1688613501.0083401,190339,3.822619915008545
1688614690.5827563,192216,4.022459983825684
1688616226.6890087,194622,3.6385200023651123
1688616663.169934,195298,3.618839979171753
1688616727.2408745,195401,3.748539924621582
1688616868.083413,195620,3.649369955062866
1688617586.5982134,196727,3.6830101013183594
1688617620.5118983,196777,3.7387499809265137
1688618554.2150772,198202,3.644399881362915
1688618984.7814217,198852,3.516170024871826
1688618986.0589237,198856,3.8834800720214844
1688619275.5378652,199288,3.692349910736084
1688619528.7168958,199663,3.6318700313568115
1688619891.5164459,200212,3.762269973754883
1688620694.1422877,201402,3.826169967651367
1688621040.9754584,201921,3.8842499256134033
1688623910.4803207,206111,3.78656005859375
1688624573.1699536,207051,3.8251900672912598
1688624968.967083,207610,3.686569929122925
1688625773.96424,208749,3.8415799140930176
